BveTs Vehicle Performance Table 1.00,,,,,
#,,,,,
0,55.00573214,102.6932796,102.6932796,102.6932796,108
5,47.94176786,102.6932796,102.6932796,102.6932796,108
10,40.87779464,102.6932796,102.6932796,102.6932796,108
15,33.81383036,102.6932796,102.6932796,102.6932796,108
20,26.74985714,82.4199624,102.6932796,102.6932796,108
25,23.54848214,70.2559764,102.6932796,102.6932796,108
30,21.80946429,62.1466452,102.6932796,102.6932796,108
35,20.76088393,56.3542596,95.742432,102.6932796,108
40,20.08032143,52.0099812,86.474628,102.6932796,108
45,19.61372321,48.6310932,79.26633,102.6932796,108
50,19.27997321,45.9279828,73.4996916,102.6932796,108
55,19.03303571,43.716348,68.7815388,102.6932796,108
60,18.84522321,41.8733172,64.8497448,102.6932688,105.1200072
65,18.69905357,40.3138404,61.522848,98.950518,98.950518
70,18.58308036,38.9771352,58.671216,93.4254756,93.4254756
75,18.52514286,37.8186516,56.199798,88.637112,88.637112
80,18.48339286,36.8049852,54.037314,84.4472844,84.4472844
85,18.44655357,35.9105724,52.1292348,80.7503904,80.7503904
90,18.41380357,35.1155412,50.4331704,77.4642636,77.4642636
95,18.38450893,34.4041992,48.91563,74.5240392,74.5240392
100,18.35814286,33.763986,47.5498512,71.877834,71.877834
105,18.33428571,33.1847496,46.3141368,69.4836576,69.4836576
110,18.31259821,32.658174,45.1907748,67.3071228,67.3071228
115,18.29279464,32.1773796,44.165088,65.319858,65.319858
120,18.27464286,31.736664,43.2248724,63.4981896,63.4981896
125,18.2579375,31.3311888,42.3598788,61.8222672,61.8222672
130,18.24252679,30.9569148,41.561424,60.2752536,60.2752536
135,18.22825,30.6103644,40.82211,58.8428388,58.8428388
140,18.215,30.2885676,40.135608,57.5127432,57.5127432
145,18.20266071,29.9889648,39.4964532,56.274372,56.274372
150,18.19114286,29.7093312,38.8998936,55.118556,55.118556
155,18.18036607,29.4477336,38.341836,54.037314,54.037314
160,18.17026786,29.202498,37.8186516,53.0236476,53.0236476
