BveTs Vehicle Performance Table 1.00,,,,,
#,,,,,
0,34064.98,64070.96,64070.96,64070.96,69029.18
5,27611.32,64070.96,64070.96,64070.96,69029.18
10,21057.65,64070.96,64070.96,64070.96,69029.18
15,14603.98,64070.96,64070.96,64070.96,69029.18
20,8050.306,48803.22,64070.96,64070.96,69029.18
25,5180.196,39042.57,64070.96,64070.96,69029.18
30,3666.802,32535.48,64070.96,64070.96,69029.18
35,2693.977,27887.55,59493.45,64070.96,69029.18
40,2062.576,21351.41,45549.67,56937.09,60663.04
45,1629.69,16870.25,35989.86,50610.75,53922.7
50,1320.049,13664.9,29151.79,45549.67,48530.43
55,1090.949,11293.31,24092.39,41408.79,44118.57
60,916.7006,9489.515,20244.3,37958.06,39093.96
65,781.0941,8085.74,17249.58,33421.06,33310.82
70,673.4943,6971.888,14873.36,28817.14,28722.09
75,586.6884,6073.29,12956.35,25102.93,25276.81
80,515.6441,5337.852,11387.42,22063.12,22215.94
85,456.7643,4728.339,10087.12,19543.8,19679.17
90,407.4225,4217.562,8997.466,17432.59,17553.34
95,365.6645,3785.291,8075.288,15645.87,15754.24
100,330.0122,3416.225,7287.947,14120.4,14218.2
105,299.3308,3098.617,6610.383,12807.62,12896.33
110,272.7374,2823.327,6023.097,11669.75,11750.58
115,249.5367,2583.157,5510.735,10677.05,10751
120,229.1752,2372.379,5061.075,9805.832,9873.752
125,211.2078,2186.384,4664.286,9037.055,9099.65
130,195.2735,2021.435,4312.395,8355.265,8413.138
135,181.0767,1874.472,3998.874,7747.818,7801.483
140,168.3736,1742.972,3718.34,7204.285,7254.186
145,156.9618,1624.84,3466.324,6716.004,6762.522
150,146.6721,1518.322,3239.088,6275.732,6319.202
155,137.362,1421.946,3033.485,5877.377,5918.087
160,128.911,1334.463,2846.854,5515.78,5553.986
