BveTs Vehicle Performance Table 1.00,,,,,
#,,,,,
0,34064.98,52028.57,52028.57,52028.57,56021.44
5,27611.32,52028.57,52028.57,52028.57,56021.44
10,21057.65,52028.57,52028.57,52028.57,56021.44
15,14403.98,52028.57,52028.57,52028.57,56021.44
20,8050.306,52028.57,52028.57,52028.57,56021.44
25,5180.196,38036.57,52028.57,52028.57,56021.44
30,3666.802,31097.14,52028.57,52028.57,56021.44
35,2693.977,27068.98,52028.57,52028.57,56021.44
40,2062.576,20801.25,45069.38,46225,49368.76
45,1629.69,16435.55,35610.37,41088.89,43883.34
50,1320.049,13312.8,28844.4,36980,39495.01
55,1090.949,11002.31,23838.35,33618.18,35904.55
60,916.7006,9245,20030.83,30816.67,32912.51
65,781.0941,7877.396,17067.69,28446.15,30380.78
70,673.4943,6792.245,14716.53,26414.29,28210.72
75,586.6884,5916.8,12819.73,24653.33,25276.81
80,515.6441,5200.313,11267.34,21956.88,22215.94
85,456.7643,4606.505,9980.761,19449.69,19679.17
90,407.4225,4108.889,8902.593,17348.64,17553.34
95,365.6645,3687.756,7990.138,15570.53,15754.24
100,330.0122,3328.2,7211.1,14052.4,14218.2
105,299.3308,3018.775,6540.68,12745.94,12896.33
110,272.7374,2750.578,5959.587,11613.55,11750.58
115,249.5367,2516.597,5452.627,10625.63,10751
120,229.1752,2311.25,5007.708,9758.611,9873.752
125,211.2078,2130.048,4615.104,8993.536,9099.65
130,195.2735,1969.349,4266.923,8315.029,8413.138
135,181.0767,1826.173,3956.708,7710.507,7801.483
140,168.3736,1698.061,3679.133,7169.592,7254.186
145,156.9618,1582.973,3429.774,6683.662,6762.522
150,146.6721,1479.2,3204.933,6245.511,6319.202
155,137.362,1385.307,3001.498,5849.074,5918.087
160,128.911,1300.078,2816.836,5489.219,5553.986
