BveTs Station List 2.00,,,,,,,,,,,,
H23,北千住引き込み,9:08:00,9:08:20,10,9:08:20,0,5,0,,,0,5
H22,北千住,9:08:00,9:08:20,10,9:08:20,0,5,0.2,,,0,5
H21,南千住,9:12:00,9:12:10,10,8:57:02,1,20,0.3,,,0,6
H20,三ノ輪,9:14:20,t,15,8:57:03,1,20,0,,,0,7
H19,入谷,9:04:25,9:04:30,31,8:57:04,1,30,0,,,0,8
H18,上野,9:06:00,9:06:05,10,8:57:05,1,30,0,,,0,9
H17,仲御徒町,9:06:49,9:06:55,30,8:57:06,1,20,0,,,0,10
H16,秋葉原,9:08:03,9:08:08,20,8:57:07,1,0,0,,,0,11
H15,小伝馬町,9:09:07,9:09:12,20,8:57:08,1,15,0,,,0,12
H14,人形町,p,9:10:15,15,8:57:09,1,20000,0,,,0,13
H13,茅場町,09:12:00,t,0,8:57:10,1,5,0,,,0,0
TEST01,フラグ①,p,9:10:10,15,8:57:11,1,20000,0,,,0,13
TEST02,墨堤通り前,p,9:10:10,15,8:57:12,1,20000,0,,,0,13
