BveTs Vehicle Performance Table 1.00
#
0,40159.67,87188.75,87188.75,87188.75
5,31705,87188.75,87188.75,87188.75
10,12349.98,87188.75,87188.75,87188.75
15,6198.852,69751,87188.75,87188.75
20,3801.153,52313.25,87188.75,87188.75
25,2601.168,39849.89,87188.75,87188.75
30,1907.92,26682.62,87188.75,87188.75
35,1468.083,19008.4,74733.22,87188.75
40,1169.942,14169.78,65391.56,87188.75
45,957.6462,10935.22,50762.59,87188.75
50,800.6032,8672.837,40472.98,87188.75
55,680.8474,7032.298,32973.95,79262.5
60,587.2314,5807.142,27347.99,72657.3
65,512.5234,4869.516,23024.33,61909.17
70,451.8557,4136.942,19633.15,53380.87
75,401.8484,3554.352,16926.57,46500.67
80,360.0919,3083.878,14733.54,40869.73
85,324.8285,2698.817,12933.02,36202.94
90,294.7502,2379.916,11437.45,32292.13
95,268.8662,2113.018,10182.28,28982.41
100,246.4146,1887.536,9119.072,26156.63
105,226.8008,1695.426,8210.955,23724.83
110,209.5554,1530.493,7429.445,21617.05
115,194.3032,1387.906,6752.278,19778.17
120,180.7416,1263.853,6161.849,18164.32
125,168.624,1155.296,5644.092,16740.24
130,157.7476,1059.79,5187.671,15477.29
135,147.9445,975.351,4783.36,14352.06
140,139.0749,900.3544,4423.595,13345.22
145,131.021,833.4615,4102.13,12440.73
150,123.6833,773.5607,3813.77,11625.17
155,116.9775,719.723,3554.164,10887.25
160,110.8313,671.168,3319.653,10217.43
