BveTs Station List 2.00,,,,,,,,,,,,
H22,北千住,12:30:00,12:30:30,1,12:30:00,0,1,0,,,0,1
H21,南千住,12:33:40,12:34:05,1,8:57:02,1,1,0,,,0,1
H20,三ノ輪,12:35:35,12:36:00,1,8:57:03,1,1,0,,,0,1
H19,入谷,12:37:10,12:37:35,1,8:57:04,1,1,0,,,0,1
H18,上野,12:38:45,12:39:10,1,8:57:05,1,1,0,,,0,1
H17,仲御徒町,12:40:30,12:40:55,1,8:57:06,1,1,0,,,0,1
H16,秋葉原,12:42:05,12:42:30,1,8:57:07,1,1,0,,,0,1
H15,小伝馬町,12:43:40,12:44:05,1,8:57:08,1,1,0,,,0,1
H14,人形町,12:45:15,12:45:40,1,8:57:09,1,1,0,,,0,1
H13,茅場町,16:47:40,t,0,8:57:10,1,1,0,,,0,1
