BveTs Station List 2.00,,,,,,,,,,,,
H22,北千住,16:00:00,16:01:00,1,16:00:00,0,2,0,,,0,1
H21,南千住,16:04:00,16:04:25,1,8:57:02,1,2,0.5,,,0,1
H20,三ノ輪,16:05:47,16:06:12,1,8:57:03,1,2,0.6,,,0,1
H19,入谷,16:07:12,16:07:37,1,8:57:04,1,2,0.7,,,0,1
H18,上野,16:08:42,16:09:07,1,8:57:05,1,2,0.5,,,0,1
H17,仲御徒町,16:10:09,16:10:34,1,8:57:06,1,2,0.5,,,0,1
H16,秋葉原,16:11:32,16:11:57,1,8:57:07,1,2,0.7,,,0,1
H15,小伝馬町,16:13:07,16:13:32,1,8:57:08,1,2,0.7,,,0,1
H14,人形町,16:14:42,16:15:07,1,8:57:09,1,2,1,,,0,1
H13,茅場町,16:17:07,t,1,8:57:10,1,2,0,,,0,1
