BveTs Station List 2.00:UTF-8

"H23",北千住留置場,15:58:40,15:58:50,10,15:58:45,1,5,0,,,0,0
"H22",北千住,16:00:30,16:01:00,10,16:00:40,1,5,0,,,0,0
"p01",定通ポイント,p,16:01:20,0,16:01:30,1,0,0,,,0,0
"H21",南千住,p,16:02:20,10,16:02:10,1,5,0,,,0,0
"H20",三ノ輪,p,16:03:40,10,16:03:30,1,5,0,,,0,0
"H19",入谷,p,16:05:20,10,16:05:10,1,5,0,,,0,0
"H18",上野,16:06:20,16:06:40,10,16:06:30,1,5,0,,,0,0
"H17",仲御徒町,p,16:06:40,10,16:06:30,1,5,0,,,0,0
"H16",秋葉原,16:06:20,16:06:40,10,16:06:30,1,5,0,,,0,0
"H15",小伝馬町,p,16:06:40,10,16:06:30,1,5,0,,,0,0
"H14",人形町,16:06:20,16:06:40,10,16:06:30,1,5,0,,,0,0
