BveTs Station List 2.00,,,,,,,,,,,,
H22,北千住,16:00:00,16:01:00,10,16:00:40,0,5,0.5,,h22a,0,5
H21,南千住,16:04:00,16:04:25,10,16:02:10,1,20,0.6,h21av,h21a,0,6
H20,三ノ輪,16:05:47,16:06:12,15,16:03:30,1,20,0.6,h20av,h20a,0,7
H19,入谷,16:07:12,16:07:37,31,16:05:10,1,30,0.7,h19av,h19a,0,8
H18,上野,16:08:42,16:09:07,10,16:06:30,1,30,0.8,h18av,h18a,0,9
H17,仲御徒町,16:10:09,16:10:34,30,16:06:30,1,20,0.8,h17av,h17a,0,10
H16,秋葉原,16:11:32,16:11:57,20,16:06:30,1,0,1,h16av,h16a,0,11
H15,小伝馬町,16:13:07,16:13:32,20,16:06:30,1,15,1,h15av,h15a,0,12
H14,人形町,16:14:42,16:15:07,15,16:06:20,1,20000,0.8,h14av,h14a,0,13
H13,茅場町,16:17:07,t,10,00:00:00,1,10,0,,,0,10
