BveTs Station List 2.00,,,,,,,,,,,,
H22,北千住,12:30:00,12:30:30,10,16:00:40,0,5,0,,h22a,0,5
H21,南千住,12:33:40,12:34:05,10,16:02:10,1,20,0,h21av,h21a,0,6
H20,三ノ輪,12:35:35,12:36:00,15,16:03:30,1,20,0,h20av,h20a,0,7
H19,入谷,12:37:10,12:37:35,31,16:05:10,1,30,0,h19av,h19a,0,8
H18,上野,12:38:45,12:39:10,10,16:06:30,1,30,0,h18av,h18a,0,9
H17,仲御徒町,12:40:30,12:40:55,30,16:06:30,1,20,0,h17av,h17a,0,10
H16,秋葉原,12:42:05,12:42:30,20,16:06:30,1,0,0,h16av,h16a,0,11
H15,小伝馬町,12:43:40,12:44:05,20,16:06:30,1,15,0,h15av,h15a,0,12
H14,人形町,12:45:15,12:45:40,15,16:06:20,1,20000,0,h14av,h14a,0,13
H13,茅場町,16:47:40,t,0,16:06:30,1,5,0,,,0,0
