BveTs Vehicle Performance Table 1.00
#
0,101.6,140,140
5,98.40001,140,140
10,95.2,140,140
15,92,140,140
20,74,140,140
25,63.2,140,140
30,56,140,140
35,42.67055,122.8571,140
40,35.1875,110,140
45,30.66667,100,140
50,28.64,88.30519,140
55,27.1405,79.20586,140
60,26,71.96152,140
65,25.11243,66.08279,140
70,24.40816,61.23459,140
75,23.84,57.18064,140
80,23.375,53.75,132.5
85,22.98962,50.81629,125.8824
90,22.66667,48.28427,120
95,22.39335,46.08094,114.7368
100,22.16,44.14954,110
105,21.95918,42.44527,105.7143
110,21.78512,40.93243,101.8182
115,21.63327,39.58223,98.26086
120,21.5,38.37117,95
125,21.3824,37.28,92
130,21.27811,36.29272,89.23077
135,21.18518,35.39601,86.66666
140,21.10204,34.57863,84.28571
145,21.02735,33.8311,82.06897
150,20.96,33.14534,80
155,20.89906,32.51443,78.06451
160,20.84375,31.93243,76.25
