BveTs Vehicle Performance Table 1.00
#
0,34637.5,50937.5,50937.5
5,33279.17,50937.5,50937.5
10,31920.83,50937.5,50937.5
15,30562.5,50937.5,50937.5
20,22921.88,50937.5,50937.5
25,18337.5,50937.5,50937.5
30,15281.25,50937.5,50937.5
35,9623.178,43660.71,50937.5
40,6446.777,38203.13,50937.5
45,4527.778,33958.34,50937.5
50,3300.75,26094.72,45843.75
55,2479.902,20562.26,41676.14
60,1910.156,16542.44,38203.13
65,1502.39,13542.36,35264.42
70,1202.897,11252.07,32745.54
75,978,9469.444,30562.5
80,805.8472,8058.472,26861.57
85,671.84,6925.168,23794.33
90,565.9722,6003.042,21223.96
95,481.2291,5244.072,19048.65
100,412.5938,4612.938,17191.41
105,356.414,4083.235,15593.11
110,309.9878,3634.929,14207.77
115,271.2871,3252.618,12999.17
120,238.7695,2924.318,11938.48
125,211.248,2640.6,11002.5
130,187.7987,2393.973,10172.43
135,167.6955,2178.428,9432.87
140,150.3622,1989.104,8771.126
145,135.3377,1822.039,8176.65
150,122.25,1673.977,7640.625
155,110.7969,1542.227,7155.632
160,100.7309,1424.55,6715.393
