BveTs Vehicle Performance Table 1.00
#
0,51956.25,76406.25,76406.25
5,49918.75,76406.25,76406.25
10,47881.25,76406.25,76406.25
15,45843.75,76406.25,76406.25
20,34382.81,76406.25,76406.25
25,27506.25,76406.25,76406.25
30,22921.88,76406.25,76406.25
35,14434.77,65491.07,76406.25
40,9670.166,57304.69,76406.25
45,6791.667,50937.5,76406.25
50,4951.125,39142.08,68765.63
55,3719.854,30843.39,62514.2
60,2865.234,24813.66,57304.69
65,2253.584,20313.54,52896.63
70,1804.346,16878.11,49118.3
75,1467,14204.17,45843.75
80,1208.771,12087.71,40292.36
85,1007.76,10387.75,35691.5
90,848.9584,9004.563,31835.94
95,721.8436,7866.107,28572.98
100,618.8906,6919.408,25787.11
105,534.621,6124.853,23389.67
110,464.9817,5452.394,21311.66
115,406.9306,4878.927,19498.76
120,358.1543,4386.477,17907.71
125,316.872,3960.9,16503.75
130,281.6981,3590.96,15258.64
135,251.5432,3267.642,14149.3
140,225.5432,2983.656,13156.69
145,203.0065,2733.058,12264.97
150,183.375,2510.966,11460.94
155,166.1953,2313.341,10733.45
160,151.0963,2136.825,10073.09
